"Block Group","FIPS Code","Formatted FIPS","Average number of jobs per household in 2021."
"260810130001, MI","260810130001","=""260810130001""","1.61"
"260810130002, MI","260810130002","=""260810130002""","5.34"
"260810130003, MI","260810130003","=""260810130003""","21.24"
"260810131001, MI","260810131001","=""260810131001""","4.68"
"260810131002, MI","260810131002","=""260810131002""","1.46"
"260810131003, MI","260810131003","=""260810131003""","0.36"
"260810132001, MI","260810132001","=""260810132001""","1.26"
"260810132002, MI","260810132002","=""260810132002""","1.78"
"260810132003, MI","260810132003","=""260810132003""","0.11"
"260810132004, MI","260810132004","=""260810132004""","4.51"
"260810145011, MI","260810145011","=""260810145011""","0.79"
"260810145015, MI","260810145015","=""260810145015""","1.52"
"260810145016, MI","260810145016","=""260810145016""","0.06"
"261390215001, MI","261390215001","=""261390215001""","0.55"
"261390215002, MI","261390215002","=""261390215002""","0.44"

"Location: 49418 (Zip)"

"Block Group Boundary Year: 2010"

"Indicator source: EPA Smart Location Database"
"https://www.policymap.com/data/our-data-directory/#EPA%20Smart%20Location%20Database"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"